species_name,adult_forearm_length_mm,precip_mean_mm,TrophicLevel
Aethalops_alecto,46.49,250.35,NA
Sphaerias_blanfordi,53.76,134.32,NA
Sphaeronycteris_toxophyllum,38.49,173.21,H
Stenoderma_rufum,49.37,104.75,H
Sturnira_aratathomasi,58.59,188.57,H
Sturnira_bidens,41.49,145.74,H
Sturnira_erythromos,41.74,126.41,H
Sturnira_lilium,40.5,142.56,O
Sturnira_ludovici,43.5,132.38,H
Sturnira_luisi,43,174.37,H
Sturnira_magna,57.5,159.27,H
Sturnira_mordax,46.5,248.5,H
Sturnira_nana,34.99,131.46,H
Sturnira_oporaphilum,45.99,137.9,NA
Sturnira_tildae,45.5,154.33,H
Styloctenium_wallacei,94.87,227.03,NA
Tadarida_fulminans,59,73.87,C
Triaenops_furculus,43.99,126.86,C
Triaenops_persicus,53,89.15,C
Triaenops_rufus,52.5,148.85,C
Syconycteris_australis,41.9,198.72,H
Syconycteris_carolinae,60.16,192.66,H
Syconycteris_hobbit,47.88,315,H
Tadarida_aegyptiaca,49.99,54.06,C
Tadarida_australis,45.11,29.51,NA
Tadarida_brasiliensis,42.26,81.68,C
Tadarida_lobata,59.5,72.41,NA
Tadarida_teniotis,59.99,52.12,C
Tadarida_ventralis,63.99,81.08,NA
Taphozous_georgianus,69.18,53.69,C
Taphozous_hamiltoni,65,71.1,NA
Taphozous_hildegardeae,66.5,98.46,C
Taphozous_hilli,67.5,20.54,NA
Taphozous_kapalgensis,60.29,101.68,NA
Taphozous_longimanus,58.49,158.24,C
Taphozous_mauritianus,61.74,100.81,C
Taphozous_melanopogon,63.72,153.56,NA
Taphozous_nudiventris,76.15,70.12,NA
Taphozous_perforatus,62,78.19,NA
Taphozous_theobaldi,71,132.3,NA
Taphozous_troughtoni,72.5,37.66,NA
Acerodon_celebensis,133.5,229.41,NA
Acerodon_jubatus,188.04,202.52,H
Acerodon_leucotis,139.95,224,NA
Acerodon_mackloti,145.5,204.54,H
Alionycteris_paucidentata,44.61,187,NA
Ametrida_centurio,29,159.06,H
Amorphochilus_schnablii,35.99,34.8,C
Anoura_caudifer,36.25,150.88,O
Anoura_cultrata,42.8,164.27,O
Anoura_geoffroyi,42.66,128.98,O
Anoura_latidens,43,102.16,O
Anthops_ornatus,49.5,189.75,NA
Antrozous_pallidus,54.53,36.48,C
Aproteles_bulmerae,166.24,354.23,H
Arielulus_circumdatus,40.5,166.35,NA
Arielulus_cuprosus,35.49,265,NA
Arielulus_societatis,38.49,203.61,NA
Ariteus_flavescens,40.5,104.75,NA
Artibeus_amplus,70.5,160.88,H
Artibeus_anderseni,35.49,178.8,H
Artibeus_aztecus,44.36,99.95,H
Artibeus_cinereus,38.99,150.84,H
Artibeus_concolor,47.34,168.66,H
Artibeus_fraterculus,56,67.93,H
Artibeus_hirsutus,55.88,68.43,H
Artibeus_inopinatus,50.49,134.62,H
Artibeus_jamaicensis,60.34,147.19,O
Artibeus_lituratus,70.33,148.64,H
Artibeus_phaeotis,38.55,162.28,O
Artibeus_toltecus,39.5,138.84,H
Asellia_patrizii,38.49,37.13,NA
Asellia_tridens,51.33,9.2,C
Aselliscus_stoliczkanus,41.49,139.23,C
Aselliscus_tricuspidatus,40.5,292.15,C
Thoopterus_nigrescens,72.33,223.65,NA
Thyroptera_discifera,33.5,178.23,NA
Thyroptera_tricolor,35.49,160.56,C
Tomopeas_ravus,32.99,33.35,NA
Tonatia_bidens,58.13,103.54,O
Trachops_cirrhosus,58.45,154.52,C
Trinycteris_nicefori,38,175.32,O
Tylonycteris_pachypus,26.24,184.32,C
Tylonycteris_robustula,27.99,183.3,C
Uroderma_bilobatum,42.03,152.59,O
Uroderma_magnirostrum,41.49,159.27,H
Vampyressa_bidens,35.57,173.85,NA
Vampyressa_brocki,33.5,171.14,NA
Vampyressa_melissa,38,240.44,NA
Vampyressa_nymphaea,36.5,230.23,NA
Vampyrodes_caraccioli,52.05,172.08,H
Vampyrum_spectrum,68.79,155.53,O
Vespadelus_baverstocki,30.08,19.28,NA
Vespadelus_darlingtoni,34,65.24,C
Vespadelus_douglasorum,35.99,76.59,NA
Vespadelus_pumilus,31.5,82.86,C
Vespadelus_regulus,30.09,47.48,C
Vespadelus_vulturnus,26.88,46.9,C
Vespertilio_murinus,44.84,34.99,C
Vespertilio_sinensis,48.5,74.05,C
